model,window,dir,recession,rot,tx,g0,g1,g2,g3,g4,g5,g6,g7
pca8_8node,17,L,-44.65,-1.77,266.5,0.0184,-0.5595,-0.6278,-0.508,0.6991,-0.4961,-0.3088,-0.1612
pca8_8node,17,FL,-129.93,-2.18,-200.8,0.1416,-0.1535,-0.5563,0.3084,0.7995,-0.6885,0.3252,0.0917
pca8_8node,18,F,-21.59,1.23,-67.1,0.475,-0.0014,-0.0466,0.0737,-0.3285,-0.2031,0.142,0.1657
pca8_8node,18,FR,-0.34,5.61,-233.8,0.5248,0.5684,-0.3578,-0.1615,-0.0078,-0.206,-0.3581,0.0796
pca8_8node,18,R,-3.45,12.99,-526.3,0.0618,0.6865,-0.1329,0.189,0.0397,-0.0265,-0.236,0.0395
pca8_8node,18,BR,10.37,8.32,-388.5,-0.0829,0.5326,0.0955,0.0955,-0.0077,0.0721,-0.1578,-0.08
pca8_8node,18,B,40.39,4.63,176.3,-0.1951,-0.041,0.187,-0.1801,-0.2468,0.2301,-0.2348,-0.275
pca8_8node,18,BL,39.7,-0.83,356.2,-0.2046,-0.3735,0.3376,-0.3312,-0.2572,0.3807,-0.1145,-0.2777
pca8_8node,18,L,-0.2,-8.09,563.1,-0.0209,-0.7438,-0.1678,-0.4105,-0.0201,0.3178,0.3337,0.0056
pca8_8node,18,FL,-22.82,-3.56,37.7,0.4482,-0.3405,0.0858,0.2565,-0.2737,-0.0721,0.4348,-0.3429
