scene,model,dino_drift
r06_FL,ours_noadaln,0.166
r06_FR,astra,0.3863
r06_FR,matrixgame,0.5366
r06_FR,minwm,0.322
r06_FR,worldcam,0.7622
r06_FR,worldplay,0.4404
r06_FR,yume,0.4418
r06_FR,ours_pca8,0.4074
r06_FR,ours_pca4,0.3454
r06_FR,ours_pca2,0.3295
r06_FR,ours_16node,0.3421
r06_FR,ours_4node,0.3954
r06_FR,ours_noatok,0.3037
r06_FR,ours_noadaln,0.3391
r06_L,astra,0.5457
r06_L,matrixgame,0.8368
r06_L,minwm,0.4224
r06_L,worldcam,0.6841
r06_L,worldplay,0.832
r06_L,yume,0.5923
r06_L,ours_pca8,0.6243
r06_L,ours_pca4,0.7146
r06_L,ours_pca2,0.7144
r06_L,ours_16node,0.7548
r06_L,ours_4node,0.672
r06_L,ours_noatok,0.56
r06_L,ours_noadaln,0.1719
r06_R,astra,0.3628
r06_R,matrixgame,0.7947
r06_R,minwm,0.3132
r06_R,worldcam,0.6967
r06_R,worldplay,0.5511
r06_R,yume,0.376
r06_R,ours_pca8,0.3535
r06_R,ours_pca4,0.4353
r06_R,ours_pca2,0.4489
r06_R,ours_16node,0.3139
r06_R,ours_4node,0.4155
r06_R,ours_noatok,0.3772
r06_R,ours_noadaln,0.4085
r07_B,astra,0.5816
r07_B,matrixgame,0.5582
r07_B,minwm,0.2177
r07_B,worldcam,0.5405
r07_B,worldplay,0.4229
r07_B,yume,0.2778
r07_B,ours_pca8,0.2393
r07_B,ours_pca4,0.261
r07_B,ours_pca2,0.2941
r07_B,ours_16node,0.2704
r07_B,ours_4node,0.1933
r07_B,ours_noatok,0.233
r07_B,ours_noadaln,0.2526
r07_BL,astra,0.1781
r07_BL,matrixgame,0.7592
r07_BL,minwm,0.3446
r07_BL,worldcam,0.787
r07_BL,worldplay,0.5603
r07_BL,yume,0.4078
r07_BL,ours_pca8,0.3149
r07_BL,ours_pca4,0.3334
r07_BL,ours_pca2,0.3889
r07_BL,ours_16node,0.2999
r07_BL,ours_4node,0.3564
r07_BL,ours_noatok,0.297
r07_BL,ours_noadaln,0.2556
r07_BR,astra,0.5568
r07_BR,matrixgame,0.5923
r07_BR,minwm,0.4789
r07_BR,worldcam,0.6693
r07_BR,worldplay,0.6853
r07_BR,yume,0.4565
r07_BR,ours_pca8,0.2733
r07_BR,ours_pca4,0.2921
r07_BR,ours_pca2,0.2313
r07_BR,ours_16node,0.2296
r07_BR,ours_4node,0.4088
r07_BR,ours_noatok,0.3797
r07_BR,ours_noadaln,0.5438
r07_F,astra,0.1253
r07_F,matrixgame,0.4314
r07_F,minwm,0.1483
r07_F,worldcam,0.609
r07_F,worldplay,0.2735
r07_F,yume,0.3693
r07_F,ours_pca8,0.2478
r07_F,ours_pca4,0.2374
r07_F,ours_pca2,0.203
r07_F,ours_16node,0.1978
r07_F,ours_4node,0.2391
r07_F,ours_noatok,0.2521
r07_F,ours_noadaln,0.2544
r07_FL,astra,0.378
r07_FL,matrixgame,0.6027
r07_FL,minwm,0.258
r07_FL,worldcam,0.6921
r07_FL,worldplay,0.6072
r07_FL,yume,0.3103
r07_FL,ours_pca8,0.2865
r07_FL,ours_pca4,0.2291
r07_FL,ours_pca2,0.2414
r07_FL,ours_16node,0.224
r07_FL,ours_4node,0.2532
r07_FL,ours_noatok,0.2489
r07_FL,ours_noadaln,0.2519
r07_FR,astra,0.5207
r07_FR,matrixgame,0.8536
r07_FR,minwm,0.404
r07_FR,worldcam,0.7292
r07_FR,worldplay,0.8571
r07_FR,yume,0.4515
r07_FR,ours_pca8,0.2607
r07_FR,ours_pca4,0.4181
r07_FR,ours_pca2,0.2468
r07_FR,ours_16node,0.2364
r07_FR,ours_4node,0.4564
r07_FR,ours_noatok,0.4721
r07_FR,ours_noadaln,0.3421
r07_L,astra,0.6908
r07_L,matrixgame,0.8858
r07_L,minwm,0.2817
r07_L,worldcam,0.7614
r07_L,worldplay,0.5774
r07_L,yume,0.219
r07_L,ours_pca8,0.4103
r07_L,ours_pca4,0.4091
r07_L,ours_pca2,0.4253
r07_L,ours_16node,0.3388
r07_L,ours_4node,0.41
r07_L,ours_noatok,0.3839
r07_L,ours_noadaln,0.2525
r07_R,astra,0.6226
r07_R,matrixgame,0.6006
r07_R,minwm,0.4477
r07_R,worldcam,0.7318
r07_R,worldplay,0.6761
r07_R,yume,0.3938
r07_R,ours_pca8,0.3413
r07_R,ours_pca4,0.3135
r07_R,ours_pca2,0.2639
r07_R,ours_16node,0.4396
r07_R,ours_4node,0.5054
r07_R,ours_noatok,0.4023
r07_R,ours_noadaln,0.4967
r08_B,astra,0.1347
r08_B,matrixgame,0.6236
r08_B,minwm,0.2174
r08_B,worldcam,0.2763
r08_B,worldplay,0.4645
r08_B,yume,0.3763
r08_B,ours_pca8,0.3037
r08_B,ours_pca4,0.2537
r08_B,ours_pca2,0.2296
r08_B,ours_16node,0.3182
r08_B,ours_4node,0.2666
r08_B,ours_noatok,0.2297
r08_B,ours_noadaln,0.2734
r08_BL,astra,0.197
r08_BL,matrixgame,0.8723
r08_BL,minwm,0.2415
r08_BL,worldcam,0.5699
r08_BL,worldplay,0.6671
r08_BL,yume,0.6906
r08_BL,ours_pca8,0.4043
r08_BL,ours_pca4,0.4542
r08_BL,ours_pca2,0.3928
r08_BL,ours_16node,0.4442
r08_BL,ours_4node,0.5346
r08_BL,ours_noatok,0.2928
r08_BL,ours_noadaln,0.2509
r08_BR,astra,0.3035
r08_BR,matrixgame,0.7721
r08_BR,minwm,0.4063
r08_BR,worldcam,0.6145
r08_BR,worldplay,0.8685
r08_BR,yume,0.5208
r08_BR,ours_pca8,0.4785
